candidate_id,rank,score,reasoning
CAND_0071974,1,0.9900,"Senior AI Engineer with 7.8 yrs; current title is a genuine engineering/ML role; verified Qdrant, Embeddings, Elasticsearch. High-confidence fit."
CAND_0005260,2,0.9669,"5.2-yr Senior NLP Engineer; current title is a genuine engineering/ML role with verified NLP, Semantic Search, Python. High-confidence fit."
CAND_0008425,3,0.9508,"Senior NLP Engineer (7.8 yrs); current title is a genuine engineering/ML role with verified Sentence Transformers, Recommendation Systems, Information Retrieval. High-confidence fit (concern: 90d notice)."
CAND_0033861,4,0.9467,"8.0-yr Senior NLP Engineer; current title is a genuine engineering/ML role with verified LLMs, Milvus, Elasticsearch. High-confidence fit; caveat: low recruiter response (0.16)."
CAND_0018499,5,0.9440,"7.2-yr Senior Machine Learning Engineer; current title is a genuine engineering/ML role with verified Learning to Rank, Embeddings, Recommendation Systems. High-confidence fit."
CAND_0039754,6,0.9420,"Senior Applied Scientist (16.2 yrs); current title is a genuine engineering/ML role; named skills: NLP, Deep Learning, Python. High-confidence fit."
CAND_0055905,7,0.9320,"Senior Machine Learning Engineer with 8.1 yrs; current title is a genuine engineering/ML role; named skills: OpenSearch, Python, Fine-tuning LLMs. High-confidence fit."
CAND_0081846,8,0.9279,"Lead AI Engineer with 6.7 yrs; current title is a genuine engineering/ML role; verified Information Retrieval, Learning to Rank, Vector Search. High-confidence fit."
CAND_0077337,9,0.9235,"7.0-yr Staff Machine Learning Engineer; current title is a genuine engineering/ML role; verified LLMs, Information Retrieval, RAG. High-confidence fit."
CAND_0005538,10,0.9214,"Senior AI Engineer with 5.9 yrs; current title is a genuine engineering/ML role; named skills: PyTorch, Deep Learning, Information Retrieval Systems. High-confidence fit (concern: frequent job changes)."
CAND_0080766,11,0.9177,"Staff Machine Learning Engineer (8.8 yrs); current title is a genuine engineering/ML role with verified Deep Learning, Python, OpenSearch. Strong fit (concern: 90d notice)."
CAND_0046525,12,0.8959,"Senior Machine Learning Engineer (6.1 yrs); current title is a genuine engineering/ML role; named skills: Information Retrieval, Sentence Transformers, Machine Learning. Strong fit."
CAND_0070202,13,0.8793,"Machine Learning Engineer (5.1 yrs); current title is a genuine engineering/ML role with verified RAG, PyTorch, Fine-tuning LLMs. Strong fit; caveat: 90d notice."
CAND_0011687,14,0.8719,"7.8-yr Senior NLP Engineer; current title is a genuine engineering/ML role; named skills: Embeddings, OpenSearch, Weaviate. Strong fit."
CAND_0024466,15,0.8631,"Search Engineer (5.2 yrs); current title is a genuine engineering/ML role; verified Sentence Transformers, Pinecone, NLP. Strong fit (concern: 120d notice)."
CAND_0012957,16,0.8612,"Search Engineer (4.9 yrs); current title is a genuine engineering/ML role; named skills: Machine Learning, Embeddings, Python. Strong fit (concern: 120d notice)."
CAND_0086022,17,0.8550,"Senior Applied Scientist (5.3 yrs); current title is a genuine engineering/ML role; named skills: PyTorch, Pinecone, Sentence Transformers. Strong fit (concern: 90d notice)."
CAND_0047721,18,0.8520,"Senior Data Scientist with 7.0 yrs; current title is a genuine engineering/ML role; verified Learning to Rank, NLP, Machine Learning. Strong fit (concern: 90d notice)."
CAND_0006557,19,0.8499,"7.9-yr NLP Engineer; current title is a genuine engineering/ML role; named skills: OpenSearch, FAISS, Qdrant. Strong fit; caveat: 120d notice."
CAND_0009024,20,0.8389,"5.2-yr Search Engineer; current title is a genuine engineering/ML role with verified OpenSearch, Recommendation Systems, Qdrant. Strong fit."
CAND_0061655,21,0.8328,"Machine Learning Engineer with 4.6 yrs; current title is a genuine engineering/ML role; verified Pinecone, Elasticsearch, Machine Learning. Strong fit."
CAND_0050876,22,0.8290,"6.0-yr Applied ML Engineer; current title is a genuine engineering/ML role with verified Sentence Transformers, Qdrant, OpenSearch. Strong fit; caveat: 90d notice."
CAND_0095528,23,0.8242,"Senior Data Scientist with 5.3 yrs; current title is a genuine engineering/ML role; named skills: Fine-tuning LLMs, Elasticsearch, PyTorch. Strong fit."
CAND_0064904,24,0.8186,"AI Engineer (4.9 yrs); current title is a genuine engineering/ML role; verified Embeddings, Python, LLMs. Strong fit, with one concern: 90d notice."
CAND_0081053,25,0.8183,"NLP Engineer with 5.4 yrs; current title is a genuine engineering/ML role with verified Machine Learning, Weaviate, OpenSearch. Strong fit (concern: 90d notice)."
CAND_0075439,26,0.8150,"Machine Learning Engineer with 4.3 yrs; current title is a genuine engineering/ML role; verified Vector Search, Learning to Rank, Elasticsearch. Solid fit; secondary match."
CAND_0042506,27,0.8133,"Search Engineer (4.2 yrs); current title is a genuine engineering/ML role with verified NLP, FAISS, Information Retrieval. Solid fit; secondary match."
CAND_0075249,28,0.8116,"6.2-yr Applied ML Engineer; current title is a genuine engineering/ML role; verified Machine Learning, Pinecone, Milvus. Solid fit; secondary match."
CAND_0099401,29,0.8116,"7.7-yr NLP Engineer; current title is a genuine engineering/ML role; verified Embeddings, Qdrant, Semantic Search. Solid fit but limited by 90d notice."
CAND_0096142,30,0.8092,"5.0-yr Applied ML Engineer; current title is a genuine engineering/ML role; named skills: NLP, Python, RAG. Solid fit but limited by 120d notice."
